label,text,text_length,text_selection_strategy,text_selection_info,similar_story_1,similarity_score_1,story_1_length,similar_story_2,similarity_score_2,story_2_length,similar_story_3,similarity_score_3,story_3_length
Repetition,"For example, listening to music for my son, so repetitive things, is comforting.",80,first,first of 1,"Once upon a time, there was a kind musician who loved to make music. He was always happy, and loves to test how his songs sounded. One day, he decided to test his new song at a park.

He sat on the grass and started playing his guitar. Everyone in the park smiled and enjoyed the music. Even the birds sang along! The musician was happy to hear everyoneâ€™s kind comments and kept testing his song until the sun went down. 

The musical was so delighted that he decided to keep testing his songs in the park every day. Whenever he plays, everyone always enjoys it and loves it! The musician always plays with kindness and shares his happy music with everyone.",0.2705,659,"Once upon a time, there was a little girl named Lily. She had a favorite cloth she always carried with her. It was soft and pink, just like her favorite color. One day, Lily lost her cloth and she felt very sad. She looked everywhere for it but couldn't find it.

Lily's mom noticed how sad she was and gave her a big hug to comfort her. She told her they would look for the cloth together. They searched high and low until they found it under the bed. Lily was so happy she hugged her mom and her cloth tightly.

From that day on, Lily never let her cloth out of her sight. She felt happy knowing it was always with her. And whenever she felt sad, she would hold her cloth close and her mom would comfort her with a warm hug.",0.2393,726,"Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toy cars and trucks. One day, Timmy's dad took him to a big stadium to watch a game. Timmy was so excited to see all the people and the big field.

But when they got there, Timmy's dad realized he forgot the tickets at home. Timmy started to cry because he really wanted to go inside and see the game. Suddenly, a deaf man saw Timmy crying and asked what was wrong. Timmy told him they forgot the tickets and couldn't go inside.

The deaf man smiled and pulled out a key. He said he worked at the stadium and could open the gate for them. Timmy and his dad were so happy and grateful. They got to watch the game and had a great time. Timmy learned that sometimes when things don't go as planned, there is always someone who can help open a new door.",0.2344,832
Anticipation,"Actually, we use pictograms a lot. Could it be a solution to take photos of the different outfits you wear during the week and arrange them like a sequence of pictograms? It might be an idea to show him, ""Look, here it's Monday. On Monday, mom dresses like this, and see, when there's the moon, it's evening, and mom wears her pajamas."" For example.",349,first,first of 3,"Once upon a time, there was a little boy named Timmy. Timmy liked to draw and color with his markers. One day, he drew a picture of a big tree with lots of leaves. His mommy saw the picture and said, ""Wow, Timmy! That's a beautiful tree! Can you mark your name on it so we know it's yours?""

Timmy took his blue marker and carefully marked his name on the bottom of the picture. He was so proud of his artwork that he wanted to show it to everyone. He asked his mommy if he could stand on the chair to hang it on the wall. His mommy said yes and Timmy climbed up on the chair.

As he was trying to hang the picture, he accidentally knocked over a vase. His mommy became anxious and said, ""Be careful, Timmy! You almost broke something!"" Timmy felt bad and said sorry to his mommy. She gave him a hug and said it was okay, accidents happen. From then on, Timmy made sure to be extra careful when he stood on chairs.",0.3009,914,"Once upon a time, there was a little girl named Lily. She loved to draw and color with her crayons. One day, Lily saw a big sign at the park that said there was a drawing contest. The prize was a big bag of candy!

Lily was very excited and went home to draw her best picture. She drew a beautiful flower garden with lots of colors. Her mommy was so proud of her and said her picture was very pretty.

The next day, Lily went to the park and saw many other kids with their drawings. They were all very good, but Lily's picture was the best! She won the prize and was so happy. She shared her candy with her friends and they all had a great time. Lily felt very rich because she had so many friends to share her prize with.",0.2846,722,"Once upon a time, there was a little boy named Tim. Tim loved to play with dough. He would make all sorts of shapes with it. One day, he made a car out of dough. It was a very nice car.

Tim wanted to see if the car could zoom. He was a bit nervous because he didn't know if it would work. He pushed the car and it started to zoom across the floor. Tim was so happy!

Every day, Tim played with his dough car. He would zoom it around the room and make fun tracks. Tim was not nervous anymore. He knew that his dough car could zoom fast and far. And they lived happily ever after.",0.2467,579
Adaptation to the child,I'm waiting for the stores to open so I can buy several copies.,63,first,first of 1,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and have fun. One day, Lily's mommy told her they were going to the store to trade some things. Lily was excited because she loved going to the store.

When they got to the store, Lily's mommy gave her a surprise. She let Lily pick out a toy to bring home. Lily was so happy and surprised! She looked around the store and found a doll she really liked. She showed her mommy and they traded some money for the doll.

After they left the store, they walked home. Lily's mommy told her that sometimes trading things can be difficult, but it's worth it when you get something you really want. Lily hugged her mommy and said thank you for the surprise and the new doll. She was so happy!",0.1854,768,"Once upon a time, there was a little girl named Lily. She loved to ride in her mommy's car. One day, her mommy said they needed to go to the store to get a new license. Lily didn't know what a license was, but she was excited to go for a ride.

When they got to the store, her mommy went inside and came back out with a piece of paper that had a picture of her on it. ""This is my new license,"" her mommy said. Lily thought it looked funny, but she was happy they could go home now.

On the way home, Lily started to feel naughty. She wanted to play with her toys instead of going inside. But then, her mommy said they were going to change their plans and go to the park instead. Lily was so happy! She loved the park and couldn't wait to play on the swings.",0.1578,757,"Once upon a time, there was a big jungle. In the jungle, there was a tiger. The tiger was big and strong. He liked to eat meat. One day, the tiger found a present. The present was wrapped in paper. The tiger was curious. He wanted to see what was inside the present. 

The tiger tried to open the present, but he couldn't. He was not honest. He tried to cheat and use his claws to open it. But the paper was too strong. So, the tiger asked his friend, a monkey, for help. The monkey was honest. He helped the tiger open the present. 

Inside the present, there was a toy. The tiger was so happy. He played with the toy all day long. From that day on, the tiger learned that it's better to be honest and ask for help when you need it.",0.141,733
Sensory tools,"Besides the noise-canceling headphones, we bought sensory balls for body massages. We also got a weighted blanket. We've bought quite a few small weighted items as well. Since he was chewing on things and making holes in his sweaters, we got him little chewable figures.",270,first,first of 6,"Once upon a time, there was a little girl named Lily. She loved to play with her toys, but they were always all over the place. One day, Lily decided to organize all of her toys by putting the dolls in one box and the blocks in another. It was hard work, but she felt proud when she was done.

Lily's mom noticed how much she loved to play with her toys and wanted to buy her more. But she knew that Lily was too little to carry heavy things. So, she bought her some little toys that were light in weight. Lily was so happy and played with her new toys all day long. 

After playing with her toys, Lily felt so lively and full of energy. She danced around her room and sang songs. She was so happy that she had organized her toys and had new ones to play with. From that day on, Lily made sure to keep all of her toys organized and to only play with toys that were light in weight.",0.3289,881,"Once upon a time, there was a lovely cat named Mittens. Mittens was very happy and loved to play with her toys all day long. One day, while playing with her ball, she accidentally stepped on a spike and started to suffer in pain. 

Mittens meowed loudly and her owner quickly came running to see what was wrong. The owner saw the spike in Mittens' paw and gently removed it. Mittens felt much better and purred with happiness. 

From that day on, Mittens was more careful when playing with her toys and always made sure to watch out for any spikes. She still loved to play, but now she knew to be more careful. And whenever she saw a spike, she would run away so she wouldn't suffer again.",0.276,689,"Once upon a time, there was a little girl named Lily. She had a soft blanket made of velvet that she loved to cuddle with. One day, Lily went to the park and saw her friend Emma with a big toy bear. Lily was envious of the bear because it was so big and cuddly.

Emma asked Lily if she wanted to play with the bear, but Lily said no. She told Emma that she wished she had a big bear like hers. Emma told Lily that her bear weighed a lot and was hard to carry around. Lily didn't understand what ""weigh"" meant, but Emma explained that it meant the bear was heavy and hard to lift.

Lily realized that she didn't need a big bear to be happy. She was happy with her small velvet blanket that she could carry around with her wherever she went. From that day on, Lily was content with what she had and didn't feel envious of others anymore.",0.2628,835
Verbalization ,"I verbalize all his emotions to help him understand what is happening. Then I let him calm down. We generally have a swing that we can use. It provides pressure. We have socks that he can get into. I also have vests. Our psychiatrist recommended an anger cushion. I hesitated a bit. We play games when we've accumulated too much during the week, as it's not easy to express anger in front of adults. It's very bad to let anger stay buried inside. We play snow games. Snowball fights or pillow fights. On Saturdays, he comes with the cushion, and we have battles with his dad and me. It feels good, it releases everything that was stuck inside. Or we tear up paper and throw it, like a snowball fight with paper. It also provides emotional relief.",746,first,first of 1,"One day, a little boy named Tim went to play outside. It was winter and very icy. He put on his warm coat, hat, and gloves. Tim loved to play in the snow and make snowballs.

Tim saw his friend, Sue, playing in the snow too. They decided to have a snowball fight. They threw snowballs at each other for a minute. Tim was having so much fun!

But then, Tim slipped on the icy ground. He felt embarrass because he fell in front of Sue. Sue came over to help him up. She told him it was okay and that everyone falls sometimes. They laughed and continued to play in the snow, having a great time.",0.205,592,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.1887,589,"Once upon a time, there was a man who loved to play golf. He had a modest life and lived in a small house with his family. One day, he bought a new golf club that did not fit him well. He tried to use it anyway, but it did not work. 

The man became very angry and started throwing the golf club around. His family tried to calm him down, but he did not listen. Suddenly, the golf club hit his young daughter who was playing nearby. She fell to the ground and started crying. 

The man realized what he had done and felt very sad. He held his daughter and apologized for his mistake. From that day on, he decided to never let his anger control him again. The family learned a valuable lesson about being careful with their actions and choices.",0.1855,743
Deep pressure,"Yes, yes, since he was very little, the thing that worked best when he had a tantrum was always squeezing him tightly. You don't talk, you don't yell, of course, that's useless, but you squeeze him very tightly, you hold him firmly, and with mine, it worked, it calmed him down.",278,first,first of 3,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2951,589,"Once upon a time, there was a huge baby named Max. Max was very big and loved to play. One day, Max saw a ball and wanted to kick it. He kicked the ball and it went very far. Max was so happy! 

Then, Max saw a little baby. The little baby was crying. Max felt sad for the baby. He went over to the baby and gave him a hug. The baby stopped crying and smiled. Max was happy he could help the baby. 

After that, Max went back to playing. He kicked the ball again and it went even farther! Max was so strong. He loved kicking the ball and playing with his friends. Max was a happy, huge baby. The end.",0.2728,600,"Once upon a time, there was a little girl named Lily. She loved to help her mom in the kitchen. One day, while her mom was baking a cake, Lily asked, ""Mommy, can I help you mix the batter with the teaspoon?"" Her mom smiled and said, ""Sure, Lily. You are such a smart girl.""

As they were mixing the batter, Lily's mom accidentally dropped the teaspoon on her toe. Lily asked, ""Mommy, are you okay? Did you suffer from the teaspoon?"" Her mom nodded and said, ""Yes, Lily. I did suffer a little bit, but it's okay. Accidents happen.""

Lily felt bad that her mom got hurt, so she hugged her tightly and said, ""I'm sorry, Mommy. I will be more careful next time."" Her mom hugged her back and said, ""Thank you, Lily. You are a very helpful and kind girl."" From that day on, Lily made sure to be extra careful in the kitchen so that nobody would suffer from any accidents.",0.2467,865
Noises,"But the outside world is very anxiety-inducing for him. He gets anxious very quickly. If someone is walking behind us, we have to run. It's very distressing. All of this is quite recent. In the street, any noise quickly agitates him; you can see it in his eyes... his eyes dart around. For us, it's all about the noise. When there's too much noise, you can see his eyes getting lost, unable to fix on a single point. His brain can't focus on something, and then he snaps.",471,first,first of 7,"Once there was a little boy named Tom. Tom wanted motion, so he went outside to play. He ran and skipped around the yard and then lay down in the grass. Tom watched the clouds drift by and heard the birds chirping. He wanted to fly like them, so he jumped up and flapped his arms, trying to make a motion like the birds.

Tom heard a sound and his alert ears perked up. He peered through the trees and saw a squirrel running around, gathering food. Tom wanted to join in the motion and scurried after it. He wasn't fast enough and the squirrel zipped away, leaving Tom in its wake.

Still, Tom wanted motion. He ran around the yard, laughing and jumping and twirling in the sunlight. Tom felt the motion of the world around him, and he knew he was alive. He laughed and let his happy spirit flourish in the bright day. He thanked the world for the motion and kept ever-alert to the little creatures of the forest.",0.3261,913,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.3,890,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2892,589
Distress,"Now, we've found a trick. He screams into my coat or my clothes to avoid screaming in the street, to calm things down. But when we come back from the city, when we get home... it has to explode. School goes wonderfully, for example. We get really good results, and he has many friends. But when we get home, it's an explosion. That's actually what led us to seek help. It's horrible. He was hurting himself and making himself vomit. But now, that's over. However, he sometimes needs to hit something to relieve the pressure.",524,first,first of 1,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.3274,589,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.2641,890,"Once there was a silly bear. He wanted to take a bath, but he did not know how. He looked around and saw a bench in the park. He thought that maybe if he jumped in the water he could bathe.

So he went to the bench. He tried to climb up on the bench but it was too slippery so he fell back in the grass. He tried again and this time he made it. He jumped off the bench and into the water. At first it was cold but soon it felt nice. He splashed himself all over and when he was done, he was squeaky clean.

He stepped out of the water and shook off all the water from his fur. Then he hopped back up on the bench and smiled. He was so happy he had figured out a way to bathe!",0.2423,675
Difficulty managing emotions,"When we kiss him, he gets a bit overwhelmed, he can't control himself.",70,first,first of 9,"John worked hard everyday. He was always thoughtful for everyone and tried his best to manage the chores around the house. One day, his mom asked him to fix the faucet, which was broken. He was a bit scared, since he had never fixed a faucet before.

John worked hard and carefully tried his best to manage the faucet. He asked for help from his dad, who gave him some tips on how to fix it. After some effort, he finally managed to fix it! 

John was so happy and proud of himself. Everyone was very impressed and thanked John for being so thoughtful and brave. Even his mom said he was a real hero!",0.1654,600,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.1583,1069,"Once upon a time, there was a jolly bear named Benny. Benny loved to play in the forest with his friends. One day, Benny met a wise owl who wanted to teach him how to fly. Benny was scared, but the owl was patient and kind. 

After a few tries, Benny was finally able to fly! He was so happy that he wanted to kiss the owl to say thank you. The owl smiled and said, ""You don't have to kiss me, just keep practicing and you'll be a great flyer in no time!"" 

Benny continued to practice and soon he was flying all over the forest with his friends. He was grateful to the owl for teaching him such an amazing skill. From that day on, Benny was known as the jolly bear who could fly.",0.1583,680
Fatigue,"Yes, he gets tired from the noise without being aware of it. So when he's tired, he's irritable. It overflows, and his nervous system seems too sensitive. He cries in the house. Almost every day, we have intense tantrums. Then, we talk a lot and look into physiological aspects to work on his fatigue. But it's complicated because everything is connected: noise, light, it all causes overload. When he's tired, he's irritable, and when he's irritable, he explodes.",464,first,first of 1,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2234,589,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.141,890,"Once there was a silly bear. He wanted to take a bath, but he did not know how. He looked around and saw a bench in the park. He thought that maybe if he jumped in the water he could bathe.

So he went to the bench. He tried to climb up on the bench but it was too slippery so he fell back in the grass. He tried again and this time he made it. He jumped off the bench and into the water. At first it was cold but soon it felt nice. He splashed himself all over and when he was done, he was squeaky clean.

He stepped out of the water and shook off all the water from his fur. Then he hopped back up on the bench and smiled. He was so happy he had figured out a way to bathe!",0.1398,675
Attention modulation,"He visually scans a lot of things; he's very distracted. So when we walk down the street, he scans everything, everything, everything, and it overloads his brain.",162,first,first of 3,"Ben was bored. He did not like to stay in his room. He wanted to go out and play. But Mom said no. She said it was too cold and wet. She gave him a book and a toy car. But Ben did not want to read or play with the car. He wanted to do something else.

He looked around his room. He saw a drawer. He opened it. He saw a shiny thing. It was a key. He picked it up. He wondered what it was for. He looked at the door. He saw a hole. He walked to the door. He put the key in the hole. He twisted it.

He heard a click. He turned the knob. He opened the door. He saw the hall. He smiled. He ran out of his room. He wanted to explore. He did not know that the key was for his room. He did not know that he locked himself out. He did not know that Mom would be angry. He only knew that he was not bored anymore.",0.2402,804,"Tommy was walking around the park one day. He saw something very unusual in the grass. He wondered what it was and decided to take a closer look. Tommy bent down and carefully picked up the object. It was a unique, round stone with brightly coloured spots. Tommy had never seen anything like it before. He didn't know what it was, but he felt a special connection to it. 

Tommy took the object home and asked his mom what it was. His mom told him that it was a special type of rock called a 'geode'. She explained that when geodes are opened, beautiful crystals can be discovered inside.

Tommy was so excited that he wanted to open the geode right away. He took some pliers and carefully cracked it open. Inside he found the most amazing crystals! He was amazed. What a unique discovery!",0.2364,789,"Once upon a time, there was a little boy named Tim. Tim loved to play with dough. He would make all sorts of shapes with it. One day, he made a car out of dough. It was a very nice car.

Tim wanted to see if the car could zoom. He was a bit nervous because he didn't know if it would work. He pushed the car and it started to zoom across the floor. Tim was so happy!

Every day, Tim played with his dough car. He would zoom it around the room and make fun tracks. Tim was not nervous anymore. He knew that his dough car could zoom fast and far. And they lived happily ever after.",0.2115,579
Dissociation,"Then there are moments of overload where he disconnects. That is, he stops and suddenly, he's not there anymore. When we talk, he doesn't react. It can last a minute, two minutes. It depends, sometimes longer.",209,first,first of 2,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.186,589,"Once upon a time, there was a little boy named Tim. Tim loved to play outside with his friends. One day, they all decided to play on the swings. Tim was very excited to play on the swings with his friends.

As they were playing, Tim's friend Sam started to feel dizzy. Tim told Sam to stop swinging and promised to keep him safe. Tim held Sam's hand and they sat down on the grass until Sam felt better.

After a while, Sam felt better and they went back to play with their friends. They all played together and had a great time. Tim was happy that he could keep his promise and keep Sam safe. And they all went home with big smiles on their faces.",0.1562,648,"One day, John was walking along the shore. He saw something fierce lurking in the distance. He was scared and hid behind a bush. When he peered out again, he saw a majestic dragon soaring in the sky. He was mesmerized and admired its beauty.

The dragon flew so gracefully across the sky, looping and diving in circles. John watched it in awe. He wanted to be like the dragon, strong and fierce but also graceful. Suddenly the dragon spotted John and stopped still in the sky, looking right at him.

John held his breath in shock and anticipation. The dragon and John stared at each other for what felt like a lifetime before the dragon winked at him and flew away, leaving John alone on the shore. Despite the fear he had felt before, John couldn't help but admire the dragon's grandeur.",0.1516,788
Crowd,"can't take the subway because I don't think the noise bothers him, but it's more about the environment. The people, the insecurity. The fact of being crowded, that he could anticipate being swallowed by a mass of people at a station [names the station].",253,first,first of 1,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.302,890,"Once upon a time, there was a little boy named Tim. Tim lived in a big building with an elevator. One day, Tim wanted to go outside to play. He walked to the elevator and pushed the button. But the elevator did not come. Tim frowned and felt frustrated.

Tim's mom saw him frown and asked, ""What's wrong, Tim?"" Tim said, ""The elevator won't come, Mom. I want to play outside."" Tim's mom tried to help him. She pushed the button too. But the elevator still did not come. They both frowned.

Then, Tim's dad came and saw them frowning. He said, ""Let's try one more time together."" Tim, his mom, and his dad all pushed the button at the same time. The elevator came! They all smiled and went outside to play. Tim was happy, and he didn't feel frustrated anymore.",0.2751,759,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2484,589
Sleep,"If the day has been very complicated in terms of sensory input, sleep becomes very difficult.",93,first,first of 1,"Once upon a time there was a girl. She had an enormous flashlight. She wanted to make something cool with the flashlight. One day she decided to light up her room with it. She was so excited. 
When all the lights were off, the girl lit up the torch. It was so bright that she squealed with joy. 
But as quickly as the joy came it was gone again. Her room was so bright that her little brother had woken up in the middle of the night and couldn't fall asleep again.
The girl realized that sometimes the best things in life can be enjoyed without making too much noise. After that day she was careful with how and when she used her flashlight.
The moral of this story is that you should always enjoy things with quiet and peace.",0.2214,726,"Once upon a time, there was a town. The town was very small and all the houses were brown. The people in the town were happy, but they had a problem. The town clock was broken and it could not tell the time. The people were sad because they did not know when to do things. 

One day, a man came to the town. He had a big bag and he said he could fix the clock. The people were happy and they gave him the clock to fix. The man opened the clock and saw that a little piece was broken. He replaced the piece with a new one and the clock started to work again. 

The people were very happy and they thanked the man. They gave him a big party and they all danced and ate cake. From that day on, the town clock worked perfectly and the people knew when to do things. They were no longer sad and the town was a happy place to live.",0.2179,825,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.2075,890
Modulation between the senses,"Because the senses struggle to work together, and there can be pain or an absence of sensation. It's beyond the adaptation of the remaining senses, beyond the finesse a blind person might have in touch. It's also about managing the different senses together and the intensity of the sensation.",293,first,first of 3,"Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toy cars and trucks. One day, Timmy's dad took him to a big stadium to watch a game. Timmy was so excited to see all the people and the big field.

But when they got there, Timmy's dad realized he forgot the tickets at home. Timmy started to cry because he really wanted to go inside and see the game. Suddenly, a deaf man saw Timmy crying and asked what was wrong. Timmy told him they forgot the tickets and couldn't go inside.

The deaf man smiled and pulled out a key. He said he worked at the stadium and could open the gate for them. Timmy and his dad were so happy and grateful. They got to watch the game and had a great time. Timmy learned that sometimes when things don't go as planned, there is always someone who can help open a new door.",0.1764,832,"Once there was a strong seal. The seal lived by the sea. He had many friends. They liked to play in the water.

One day, the seal found a fish with a thing around it. The fish could not swim well. The seal wanted to help the fish. He tried to remove the thing from the fish. It was hard, but the seal did not give up.

After some time, the seal removed the thing. The fish was happy and could swim again. They played together in the sea. The seal learned that helping others is good.",0.1497,483,"Once upon a time, in a small house, there lived a clumsy cat named Fluffy. Fluffy loved to play with her favorite blanket. One day, Fluffy could not find her blanket anywhere. She looked under the bed, behind the door, and even in the kitchen. But her blanket was gone.

Fluffy asked her friend, the dog named Spot, ""Did you see my blanket?"" Spot shook his head and said, ""No, Fluffy. I did not find your blanket. Let's look for it together."" So, Fluffy and Spot went on a search to find the missing blanket.

They looked in the garden, behind the trees, and even in the bird's nest. Finally, they found the blanket on the clothesline. Fluffy was so happy, and she said, ""Thank you, Spot!"" From that day on, Fluffy and Spot became the best of friends, and they always helped each other find things they had lost.",0.1392,812
Texture aversion,"Similarly, at 18 months, there was the whole texture issue with touch. He started to not tolerate certain clothes. Anything tight was no longer acceptable. So things like playdough and other sensory activities didn't work anymore.",230,first,first of 2,"Once upon a time, there was a little girl named Lily. She had a favorite cloth she always carried with her. It was soft and pink, just like her favorite color. One day, Lily lost her cloth and she felt very sad. She looked everywhere for it but couldn't find it.

Lily's mom noticed how sad she was and gave her a big hug to comfort her. She told her they would look for the cloth together. They searched high and low until they found it under the bed. Lily was so happy she hugged her mom and her cloth tightly.

From that day on, Lily never let her cloth out of her sight. She felt happy knowing it was always with her. And whenever she felt sad, she would hold her cloth close and her mom would comfort her with a warm hug.",0.3283,726,"Once upon a time, there was a little girl named Lily. She had a furry cat named Mittens. Mittens was very soft and cuddly.

One day, Lily wanted to go outside and play in the snow. But her mommy said it was too cold and she needed to wear a warm coat. Lily didn't want to wear a coat because she thought it was too big and bulky. 

Mommy said she could go outside, but only if she wore a coat. Lily didn't like it, but she knew mommy wouldn't permit her to go outside without one. So, she put on her coat and went outside to play in the cold, snowy day with her furry cat, Mittens.",0.3137,581,"Once upon a time, there was a little girl named Lily. Lily loved to play with her toys and make a mess. Her mommy always told her to clean up her toys, but Lily never listened.

One day, Lily's mommy got very angry because Lily didn't clean up her toys. She set a timer for 10 minutes and told Lily to clean up before the timer went off. Lily was shocked and didn't know what to do, but she started to clean anyway.

After the timer went off, Lily had cleaned up all of her toys! Her mommy was so happy and proud of her. Lily learned that it's important to listen to her mommy and clean up after herself. She felt happy and proud too!",0.3103,634
